year2,state,size,Firms,Estabs,Emp,Denom,Estabs_Entry,Estabs_Entry_Rate,Estabs_Exit,Estabs_Exit_Rate,Job_Creation,Job_Creation_Births,Job_Creation_Continuers,Job_Creation_Rate_Births,Job_Creation_Rate,Job_Destruction,Job_Destruction_Deaths,Job_Destruction_Continuers,Job_Destruction_Rate_Deaths,Job_Destruction_Rate,Net_Job_Creation,Net_Job_Creation_Rate,Reallocation_Rate,d_flag,firmdeath_firms,firmdeath_estabs,firmdeath_emp
1977,05,e) 50 to 99,692,823,59050,56887,19,2.3,14,1.7,10867,2530,8337,4.4,19.1,6540,2005,4535,3.5,11.5,4327,7.6,23,0,8,8,1085
1977,05,f) 100 to 249,388,469,74428,73043,9,1.9,11,2.3,10952,2266,8686,3.1,15,8182,3341,4841,4.6,11.2,2770,3.8,22.4,1,2,2,
1977,05,g) 250 to 499,141,175,61431,59170,1,0.6,0,0,7254,,,,12.3,2731,0,2731,0,4.6,4523,7.7,9.2,1,,,
1977,05,h) 500 to 999,57,62,42476,41644,0,0,0,0,5137,0,5137,0,12.3,3473,0,3473,0,8.3,1664,4,16.6,0,,,
1977,05,i) 1000+,25,26,51019,43830,0,0,0,0,16204,0,16204,0,37,1826,0,1826,0,4.2,14378,32.8,8.4,0,,,
1977,05,m. ALL,37079,40700,551097,529702,7291,18.3,5456,13.7,119728,44527,75201,8.4,22.6,76934,32541,44393,6.1,14.5,42794,8.1,29,0,3972,3994,19678
1977,06,a) 1 to 4,221924,240514,574161,533605,71678,31.2,48903,21.3,261781,198129,63652,37.1,49.1,180669,,51454,,33.9,81112,15.2,67.8,1,32895,33017,86228
1977,06,b) 5 to 9,78054,91049,643498,611012,9705,10.9,6217,7,210200,118675,91525,19.4,34.4,145228,76454,68774,12.5,23.8,64972,10.6,47.6,0,3841,3860,47327
1977,06,c) 10 to 19,42538,52908,767030,740798,3946,7.5,3086,5.9,210501,102628,107873,13.9,28.4,158037,81354,76683,11,21.3,52464,7.1,42.6,0,1851,1859,49053
1977,06,d) 20 to 49,24746,34728,1132394,1101128,2097,6.1,1854,5.4,276063,122422,153641,11.1,25.1,213530,106929,106601,9.7,19.4,62533,5.7,38.8,0,975,977,55222
1977,06,e) 50 to 99,7949,11571,838681,810405,502,4.4,374,3.3,180497,67609,112888,8.3,22.3,123944,49691,74253,6.1,15.3,56553,7,30.6,0,171,171,22579
1977,06,f) 100 to 249,3582,5451,864399,839875,195,3.6,154,2.8,172532,56253,116279,6.7,20.5,123484,44399,79085,5.3,14.7,49048,5.8,29.4,0,54,55,16317
1977,06,g) 250 to 499,990,1595,576870,548666,44,2.8,1,0.1,103595,30353,73242,5.5,18.9,47187,,46687,,8.6,56408,10.3,17.2,1,,,
1977,06,h) 500 to 999,432,596,414383,403401,12,2,0,0,59489,15257,44232,3.8,14.7,37526,0,37526,0,9.3,21963,5.4,18.6,0,,,
1977,06,i) 1000+,244,351,1002196,896332,6,1.7,0,0,264813,67884,196929,7.6,29.5,53085,0,53085,0,5.9,211728,23.6,11.8,0,,,
1977,06,m. ALL,380459,438763,6813612,6485222,88185,20.7,60589,14.2,1739471,779210,960261,12,26.8,1082690,488542,594148,7.5,16.7,656781,10.1,33.4,0,39787,39939,276726
1977,08,a) 1 to 4,31789,34279,81516,74731,10669,33,6702,20.7,38100,29372,8728,39.3,51,24530,17010,7520,22.8,32.8,13570,18.2,65.6,0,4716,4729,12159
1977,08,b) 5 to 9,10906,12245,85683,81986,1274,10.6,829,6.9,27529,15667,11862,19.1,33.6,20135,10135,10000,12.4,24.6,7394,9,49.2,0,561,562,6793
1977,08,c) 10 to 19,6087,7005,101058,98093,568,8.2,423,6.1,28427,14939,13488,15.2,29,22497,11194,11303,11.4,22.9,5930,6.1,45.8,0,261,262,6922
1977,08,d) 20 to 49,3555,4267,136933,134397,279,6.6,231,5.4,33181,16193,16988,12,24.7,28109,13410,14699,10,20.9,5072,3.8,41.8,0,111,111,6361
1977,08,e) 50 to 99,1143,1426,102034,100053,58,4.1,46,3.2,19511,7557,11954,7.6,19.5,15548,5837,9711,5.8,15.5,3963,4,31,0,24,24,3048
1977,08,f) 100 to 249,538,703,108023,104573,21,3,17,2.4,19640,6639,13001,6.3,18.8,12739,4727,8012,4.5,12.2,6901,6.6,24.4,0,7,7,1856
